name,lat,lon,demand,start_time,end_time
National Freight Point 50,25.0925,75.9583,2,8.0,16.0
National Freight Point 51,22.1486,73.891,2,8.0,14.0
National Freight Point 52,13.3028,78.1358,5,8.0,16.0
National Freight Point 53,16.6428,73.7445,1,10.0,18.0
National Freight Point 54,23.1413,72.711,1,8.0,16.0
National Freight Point 55,14.728,85.9975,2,10.0,16.0
National Freight Point 56,21.7522,72.7484,2,8.0,16.0
National Freight Point 57,15.0532,72.7251,5,8.0,14.0
National Freight Point 58,13.477,73.811,4,10.0,16.0
National Freight Point 59,15.7981,82.3451,5,10.0,16.0
National Freight Point 60,20.6838,84.5464,3,8.0,14.0
National Freight Point 61,28.7354,84.6329,5,9.0,15.0
National Freight Point 62,30.0614,73.3605,1,9.0,15.0
National Freight Point 63,21.3461,80.8654,4,10.0,16.0
National Freight Point 64,21.0307,80.2335,1,8.0,16.0
National Freight Point 65,24.2898,83.8143,2,10.0,18.0
National Freight Point 66,18.5052,83.107,3,8.0,16.0
National Freight Point 67,14.6752,78.0513,2,10.0,16.0
National Freight Point 68,13.4454,79.2592,4,9.0,17.0
National Freight Point 69,24.2967,76.2756,3,8.0,16.0
National Freight Point 70,27.5269,81.1303,1,8.0,14.0
National Freight Point 71,24.8998,81.5349,2,9.0,15.0
National Freight Point 72,24.5577,79.2293,5,8.0,16.0
National Freight Point 73,20.3545,85.4429,3,9.0,17.0
National Freight Point 74,24.647,82.2121,1,9.0,15.0
National Freight Point 75,16.3695,83.2913,3,9.0,15.0
National Freight Point 76,24.7086,76.7869,1,8.0,16.0
National Freight Point 77,22.298,82.409,5,8.0,16.0
National Freight Point 78,26.3476,76.0612,4,10.0,18.0
National Freight Point 79,14.2345,86.2128,2,10.0,18.0
National Freight Point 80,27.0137,76.9079,5,9.0,17.0
National Freight Point 81,25.214,82.6961,3,10.0,16.0
National Freight Point 82,25.359,72.6453,4,8.0,14.0
National Freight Point 83,21.692,75.145,3,10.0,18.0
National Freight Point 84,30.5442,73.0029,5,10.0,16.0
National Freight Point 85,16.2653,76.6893,1,8.0,14.0
National Freight Point 86,18.0319,76.0103,4,10.0,16.0
National Freight Point 87,16.7116,73.2814,4,9.0,15.0
National Freight Point 88,13.3911,79.4683,2,10.0,18.0
National Freight Point 89,29.2235,74.8855,1,9.0,17.0
National Freight Point 90,13.9819,85.0827,5,10.0,18.0
National Freight Point 91,23.7335,84.2632,4,8.0,14.0
National Freight Point 92,24.1707,84.0969,1,8.0,16.0
National Freight Point 93,19.4919,79.2435,1,10.0,18.0
National Freight Point 94,12.745,85.127,1,8.0,16.0
National Freight Point 95,28.0811,75.7903,4,9.0,15.0
National Freight Point 96,19.6213,76.6635,4,10.0,16.0
National Freight Point 97,22.7058,77.1744,3,9.0,15.0
National Freight Point 98,25.645,84.7691,2,8.0,14.0
National Freight Point 99,24.9927,76.2216,1,10.0,18.0
National Freight Point 100,25.3494,79.143,5,9.0,17.0
National Freight Point 101,18.8355,80.3785,1,9.0,17.0
National Freight Point 102,20.1292,79.0371,1,9.0,17.0
National Freight Point 103,16.9361,82.4419,1,9.0,15.0
National Freight Point 104,30.4235,77.7612,3,10.0,18.0
National Freight Point 105,17.8383,81.1737,2,9.0,17.0
National Freight Point 106,15.2253,83.0471,5,9.0,15.0
National Freight Point 107,14.8928,85.3417,4,9.0,15.0
National Freight Point 108,29.965,76.101,4,8.0,14.0
National Freight Point 109,19.0015,73.9301,3,8.0,14.0
National Freight Point 110,26.071,86.4701,4,8.0,14.0
National Freight Point 111,29.407,79.4484,1,9.0,15.0
National Freight Point 112,25.4683,86.1756,4,9.0,17.0
National Freight Point 113,19.6878,85.6687,1,10.0,18.0
National Freight Point 114,29.9318,78.4577,1,10.0,16.0
National Freight Point 115,26.1251,77.9293,3,9.0,15.0
National Freight Point 116,16.9116,78.7124,3,9.0,17.0
National Freight Point 117,27.7398,79.248,1,9.0,15.0
National Freight Point 118,26.5713,81.2857,4,10.0,16.0
National Freight Point 119,19.8021,76.1817,4,8.0,14.0
National Freight Point 120,16.2035,86.3053,4,9.0,17.0
National Freight Point 121,25.683,73.0806,2,8.0,16.0
National Freight Point 122,28.1382,74.2848,3,8.0,14.0
National Freight Point 123,19.32,81.2204,4,10.0,18.0
National Freight Point 124,20.5841,84.72,2,9.0,17.0
National Freight Point 125,19.0971,86.3966,3,10.0,16.0
National Freight Point 126,16.9351,79.4505,2,9.0,15.0
National Freight Point 127,24.5875,85.109,4,8.0,16.0
National Freight Point 128,19.7231,82.3035,4,9.0,15.0
National Freight Point 129,24.669,75.2686,2,10.0,16.0
National Freight Point 130,19.2021,85.4483,4,9.0,17.0
National Freight Point 131,19.0953,73.7696,5,8.0,14.0
National Freight Point 132,16.1122,78.3855,3,8.0,14.0
National Freight Point 133,30.7653,83.6842,5,9.0,17.0
National Freight Point 134,12.9312,81.7036,4,8.0,16.0
National Freight Point 135,22.6395,85.0573,3,9.0,17.0
National Freight Point 136,22.8768,75.0647,1,8.0,14.0
National Freight Point 137,13.883,80.6459,2,10.0,18.0
National Freight Point 138,29.007,77.4862,3,10.0,18.0
National Freight Point 139,14.5465,77.0354,5,8.0,14.0
National Freight Point 140,24.0768,78.0422,3,8.0,16.0
National Freight Point 141,14.3657,86.1647,2,10.0,16.0
National Freight Point 142,25.6508,84.0142,2,9.0,15.0
National Freight Point 143,28.8046,78.8423,3,9.0,17.0
National Freight Point 144,25.3629,78.2719,1,9.0,17.0
National Freight Point 145,17.4242,80.4961,5,10.0,16.0
National Freight Point 146,29.3343,79.0571,5,9.0,15.0
National Freight Point 147,23.2229,77.4601,3,8.0,14.0
National Freight Point 148,19.1542,84.3846,4,10.0,18.0
National Freight Point 149,28.2737,83.2026,3,9.0,15.0
National Freight Point 150,17.0543,77.3208,1,8.0,14.0
National Freight Point 151,26.9382,79.2238,5,8.0,14.0
National Freight Point 152,13.3419,78.6237,2,10.0,16.0
National Freight Point 153,28.8733,81.8758,4,9.0,15.0
National Freight Point 154,17.6138,79.8948,1,8.0,16.0
National Freight Point 155,23.2471,86.2668,4,10.0,18.0
National Freight Point 156,29.3473,84.272,1,10.0,18.0
National Freight Point 157,30.8629,78.0844,5,9.0,17.0
National Freight Point 158,13.6511,77.3575,3,10.0,16.0
National Freight Point 159,29.6769,81.4808,5,9.0,17.0
National Freight Point 160,22.0675,79.2077,1,10.0,16.0
National Freight Point 161,29.9896,78.3585,5,8.0,14.0
National Freight Point 162,22.6182,83.6939,5,8.0,16.0
National Freight Point 163,17.387,84.6804,1,9.0,15.0
National Freight Point 164,24.4734,84.185,4,10.0,18.0
National Freight Point 165,21.0652,80.9817,3,10.0,16.0
National Freight Point 166,24.1736,77.4705,2,9.0,15.0
National Freight Point 167,21.9579,84.2053,1,9.0,15.0
National Freight Point 168,16.614,77.705,3,9.0,17.0
National Freight Point 169,26.0882,76.2438,2,9.0,15.0
National Freight Point 170,27.2937,77.2868,5,10.0,18.0
National Freight Point 171,28.7175,83.199,5,9.0,15.0
National Freight Point 172,18.0985,86.1033,1,9.0,15.0
National Freight Point 173,23.7715,73.8311,2,8.0,16.0
National Freight Point 174,14.0725,81.7987,3,8.0,16.0
National Freight Point 175,18.4048,83.3692,1,10.0,18.0
National Freight Point 176,27.5867,79.4893,3,8.0,14.0
National Freight Point 177,28.6395,81.6425,5,10.0,16.0
National Freight Point 178,28.9781,79.921,4,10.0,16.0
National Freight Point 179,25.2633,79.013,5,8.0,14.0
National Freight Point 180,29.4453,72.7697,5,9.0,17.0
National Freight Point 181,20.0331,81.3154,2,9.0,15.0
National Freight Point 182,15.5083,78.5458,2,10.0,18.0
National Freight Point 183,15.9057,83.4314,3,9.0,17.0
National Freight Point 184,16.6398,77.9092,5,10.0,16.0
National Freight Point 185,12.522,74.6669,2,8.0,16.0
National Freight Point 186,16.6955,76.0312,5,10.0,18.0
National Freight Point 187,29.7231,84.6261,3,8.0,14.0
National Freight Point 188,26.1626,78.3712,5,10.0,16.0
National Freight Point 189,29.4733,81.6166,5,10.0,18.0
National Freight Point 190,23.6647,76.2615,5,9.0,15.0
National Freight Point 191,20.9068,77.6648,5,8.0,16.0
National Freight Point 192,18.2994,80.3785,3,8.0,14.0
National Freight Point 193,19.5482,80.4711,5,9.0,15.0
National Freight Point 194,24.392,74.0906,1,9.0,15.0
National Freight Point 195,27.4209,73.6727,4,10.0,16.0
National Freight Point 196,14.9148,74.1889,3,10.0,16.0
National Freight Point 197,26.0155,77.6932,3,10.0,18.0
National Freight Point 198,12.6006,80.6637,1,8.0,16.0
National Freight Point 199,24.5372,78.0656,5,9.0,17.0
National Freight Point 200,20.8814,83.5977,4,9.0,15.0
National Freight Point 201,16.2119,83.4821,1,9.0,15.0
National Freight Point 202,24.1759,83.9567,5,10.0,18.0
National Freight Point 203,12.8291,78.1075,5,8.0,16.0
National Freight Point 204,28.0132,74.6264,3,10.0,18.0
National Freight Point 205,22.2226,79.5998,5,8.0,16.0
National Freight Point 206,19.3624,81.0385,1,10.0,16.0
National Freight Point 207,20.3764,74.143,4,9.0,15.0
National Freight Point 208,17.4043,80.9469,1,8.0,14.0
National Freight Point 209,20.7585,75.7174,2,9.0,15.0
National Freight Point 210,30.6791,77.1342,4,10.0,16.0
National Freight Point 211,26.413,74.8177,5,10.0,18.0
National Freight Point 212,22.1371,76.1829,2,8.0,16.0
National Freight Point 213,21.0541,74.1201,5,8.0,14.0
National Freight Point 214,13.7479,75.6145,4,9.0,17.0
National Freight Point 215,24.0225,81.0103,3,9.0,17.0
National Freight Point 216,25.813,76.0759,3,8.0,14.0
National Freight Point 217,20.8386,77.8372,4,8.0,16.0
National Freight Point 218,25.1684,75.0417,5,8.0,14.0
National Freight Point 219,26.0526,77.195,1,10.0,16.0
National Freight Point 220,15.2714,85.8683,2,9.0,15.0
National Freight Point 221,23.7664,81.3678,4,10.0,18.0
National Freight Point 222,28.4591,78.8637,1,10.0,18.0
National Freight Point 223,12.715,82.0021,2,10.0,18.0
National Freight Point 224,27.2984,77.9007,3,8.0,16.0
National Freight Point 225,30.1396,83.3138,4,9.0,15.0
National Freight Point 226,14.4458,83.2715,3,9.0,15.0
National Freight Point 227,20.7815,75.3128,4,8.0,14.0
National Freight Point 228,20.5988,82.4411,3,8.0,16.0
National Freight Point 229,23.9829,82.2346,4,8.0,16.0
National Freight Point 230,19.3297,81.2752,3,9.0,15.0
National Freight Point 231,19.8135,85.7767,3,10.0,18.0
National Freight Point 232,18.2086,78.6925,3,9.0,15.0
National Freight Point 233,23.4535,82.3993,3,10.0,18.0
National Freight Point 234,15.9187,76.3709,2,10.0,16.0
National Freight Point 235,30.3977,75.3194,4,10.0,16.0
National Freight Point 236,28.7708,77.6114,2,9.0,17.0
National Freight Point 237,14.7111,75.9149,2,8.0,14.0
National Freight Point 238,25.2666,78.1371,2,8.0,16.0
National Freight Point 239,29.2241,80.8242,5,9.0,17.0
National Freight Point 240,23.6764,78.3294,5,9.0,15.0
National Freight Point 241,21.591,80.8108,1,10.0,16.0
National Freight Point 242,27.1733,78.7666,2,9.0,15.0
National Freight Point 243,15.775,79.7842,4,9.0,17.0
National Freight Point 244,18.8275,78.4263,2,10.0,16.0
National Freight Point 245,17.2273,82.1742,4,9.0,17.0
National Freight Point 246,16.8046,76.6334,2,10.0,18.0
National Freight Point 247,26.5807,85.8021,3,8.0,16.0
National Freight Point 248,29.9538,83.1374,1,8.0,16.0
National Freight Point 249,21.3397,78.6759,5,9.0,15.0
National Freight Point 250,13.0706,79.2018,2,8.0,16.0
National Freight Point 251,23.4542,84.7417,3,10.0,18.0
National Freight Point 252,18.7303,84.2324,5,9.0,17.0
National Freight Point 253,21.8266,81.8478,4,9.0,15.0
National Freight Point 254,12.9393,74.0312,1,8.0,14.0
National Freight Point 255,18.2653,86.4378,4,8.0,14.0
National Freight Point 256,28.3648,84.8508,2,8.0,16.0
National Freight Point 257,20.0102,77.5973,3,10.0,18.0
National Freight Point 258,23.1539,77.1304,1,9.0,17.0
National Freight Point 259,25.2864,83.6996,2,10.0,18.0
National Freight Point 260,28.4812,73.3125,2,10.0,16.0
National Freight Point 261,27.92,86.1749,4,8.0,14.0
National Freight Point 262,26.7084,82.6437,4,10.0,16.0
National Freight Point 263,17.8034,72.8266,1,10.0,18.0
National Freight Point 264,18.1578,80.8619,5,9.0,17.0
National Freight Point 265,27.7792,74.8394,2,10.0,18.0
National Freight Point 266,23.0587,85.9595,2,10.0,18.0
National Freight Point 267,17.0904,84.7581,1,10.0,16.0
National Freight Point 268,12.7321,81.8735,4,8.0,16.0
National Freight Point 269,18.6585,74.5801,2,10.0,16.0
National Freight Point 270,19.7684,75.7638,1,9.0,17.0
National Freight Point 271,27.3241,73.0866,1,9.0,17.0
National Freight Point 272,29.0679,84.6147,5,10.0,18.0
National Freight Point 273,26.4717,78.0862,1,10.0,18.0
National Freight Point 274,24.8771,81.1949,2,8.0,16.0
National Freight Point 275,27.7675,80.2335,4,10.0,16.0
National Freight Point 276,13.6589,74.4079,4,10.0,16.0
National Freight Point 277,26.9415,73.1601,4,9.0,17.0
National Freight Point 278,13.7421,81.2096,1,10.0,18.0
National Freight Point 279,14.9467,83.5221,1,9.0,15.0
National Freight Point 280,25.9514,75.2873,4,9.0,15.0
National Freight Point 281,17.1453,76.9696,2,8.0,14.0
National Freight Point 282,22.629,83.3879,1,9.0,17.0
National Freight Point 283,12.7484,81.0629,4,10.0,18.0
National Freight Point 284,13.8307,78.6813,4,10.0,16.0
National Freight Point 285,15.0414,85.1436,4,8.0,16.0
National Freight Point 286,18.8161,83.6562,4,9.0,15.0
National Freight Point 287,23.1681,77.5145,5,9.0,17.0
National Freight Point 288,16.3426,76.4386,4,9.0,17.0
National Freight Point 289,29.5845,79.9463,4,9.0,15.0
National Freight Point 290,17.2683,78.5895,3,8.0,16.0
National Freight Point 291,25.3451,80.1349,5,9.0,15.0
National Freight Point 292,26.5571,74.6542,3,9.0,17.0
National Freight Point 293,30.9565,73.1249,4,8.0,16.0
National Freight Point 294,27.069,84.9456,4,9.0,15.0
National Freight Point 295,19.1966,85.9001,5,9.0,15.0
National Freight Point 296,18.678,76.831,2,8.0,16.0
National Freight Point 297,26.2496,74.3855,4,9.0,17.0
National Freight Point 298,18.4612,75.5653,3,8.0,14.0
National Freight Point 299,19.5294,83.9345,5,8.0,14.0
National Freight Point 300,25.3269,82.9454,2,9.0,15.0
National Freight Point 301,19.8423,73.2899,5,9.0,15.0
National Freight Point 302,14.708,79.2247,1,9.0,17.0
National Freight Point 303,23.064,73.2992,4,9.0,15.0
National Freight Point 304,15.8803,72.9778,1,8.0,14.0
National Freight Point 305,21.1701,84.06,5,9.0,15.0
National Freight Point 306,29.8554,74.047,4,8.0,16.0
National Freight Point 307,20.7139,73.1258,3,8.0,16.0
National Freight Point 308,24.1989,78.1401,3,9.0,17.0
National Freight Point 309,17.7877,84.1948,3,8.0,16.0
National Freight Point 310,23.76,84.6941,1,9.0,15.0
National Freight Point 311,25.1786,74.7928,1,9.0,15.0
National Freight Point 312,27.6789,79.7841,3,10.0,18.0
National Freight Point 313,18.283,81.7125,4,9.0,17.0
National Freight Point 314,17.696,75.4056,5,9.0,17.0
National Freight Point 315,18.0016,74.7313,5,8.0,16.0
National Freight Point 316,20.7816,83.4652,1,8.0,14.0
National Freight Point 317,23.4047,75.5437,3,9.0,15.0
National Freight Point 318,28.8709,76.1625,1,9.0,15.0
National Freight Point 319,30.9705,73.5641,1,8.0,16.0
National Freight Point 320,19.4173,82.1031,1,9.0,17.0
National Freight Point 321,14.3616,78.5943,4,8.0,14.0
National Freight Point 322,27.7006,79.0248,2,10.0,18.0
National Freight Point 323,22.1583,76.813,4,10.0,18.0
National Freight Point 324,26.0474,84.6461,3,10.0,16.0
National Freight Point 325,24.2599,74.2334,2,10.0,18.0
National Freight Point 326,24.5275,83.6812,5,8.0,14.0
National Freight Point 327,29.0377,84.5638,5,8.0,14.0
National Freight Point 328,22.3476,85.5513,1,10.0,16.0
National Freight Point 329,16.1121,79.8305,2,9.0,17.0
National Freight Point 330,14.775,75.282,5,10.0,16.0
National Freight Point 331,30.5306,84.8586,4,10.0,16.0
National Freight Point 332,16.7528,81.1091,5,9.0,17.0
National Freight Point 333,16.6878,74.565,4,9.0,15.0
National Freight Point 334,24.7616,77.8684,2,8.0,16.0
National Freight Point 335,21.3391,78.6193,4,10.0,18.0
National Freight Point 336,25.6984,78.0598,5,9.0,15.0
National Freight Point 337,25.5918,84.7484,2,8.0,14.0
National Freight Point 338,21.7477,77.0632,2,9.0,15.0
National Freight Point 339,14.8438,73.4425,4,9.0,17.0
National Freight Point 340,28.9027,86.053,5,8.0,16.0
National Freight Point 341,16.3785,72.8121,3,8.0,16.0
National Freight Point 342,20.4663,73.2667,1,9.0,15.0
National Freight Point 343,29.377,76.8102,4,8.0,14.0
National Freight Point 344,29.8715,81.0756,2,10.0,16.0
National Freight Point 345,23.2035,86.4993,5,8.0,14.0
National Freight Point 346,28.4798,84.9382,3,8.0,16.0
National Freight Point 347,25.1454,75.3539,3,9.0,17.0
National Freight Point 348,21.3719,85.8023,2,8.0,16.0
National Freight Point 349,20.6998,77.9484,5,8.0,16.0
National Freight Point 350,14.719,79.922,2,10.0,18.0
National Freight Point 351,20.6725,80.5573,1,10.0,18.0
National Freight Point 352,20.5308,80.9756,1,10.0,16.0
National Freight Point 353,21.2337,85.9131,1,9.0,17.0
National Freight Point 354,18.1218,84.6651,5,8.0,14.0
National Freight Point 355,28.9541,81.9671,2,10.0,18.0
National Freight Point 356,12.6778,83.8328,2,9.0,17.0
National Freight Point 357,14.2589,81.1734,4,8.0,16.0
National Freight Point 358,24.8909,76.9311,2,10.0,16.0
National Freight Point 359,20.0503,72.6199,1,8.0,16.0
National Freight Point 360,28.1398,78.6285,2,10.0,16.0
National Freight Point 361,18.2675,84.5582,1,10.0,18.0
National Freight Point 362,28.3374,73.7174,3,8.0,14.0
National Freight Point 363,13.1241,73.9629,4,8.0,14.0
National Freight Point 364,30.8561,84.0759,2,9.0,17.0
National Freight Point 365,30.3723,75.2811,3,9.0,15.0
National Freight Point 366,30.4674,72.5136,2,10.0,18.0
National Freight Point 367,13.3149,77.3138,5,8.0,14.0
National Freight Point 368,29.5251,78.1193,4,10.0,18.0
National Freight Point 369,24.6417,81.6669,5,10.0,16.0
National Freight Point 370,21.4907,78.8024,2,9.0,15.0
National Freight Point 371,18.5564,86.1004,2,8.0,16.0
National Freight Point 372,29.4327,73.7743,5,8.0,16.0
National Freight Point 373,14.1179,75.6835,1,10.0,16.0
National Freight Point 374,28.3105,81.0964,4,10.0,18.0
National Freight Point 375,17.4851,81.8156,4,10.0,16.0
National Freight Point 376,22.1074,73.288,4,10.0,16.0
National Freight Point 377,22.4032,81.489,1,9.0,17.0
National Freight Point 378,28.6021,81.4839,3,9.0,17.0
National Freight Point 379,13.0647,84.5717,1,8.0,16.0
National Freight Point 380,29.0656,82.4181,3,8.0,16.0
National Freight Point 381,14.3466,85.917,4,8.0,14.0
National Freight Point 382,28.4989,75.0642,4,8.0,14.0
National Freight Point 383,29.3748,74.858,1,10.0,18.0
National Freight Point 384,26.7552,76.0807,5,10.0,16.0
National Freight Point 385,13.1509,80.0574,1,9.0,17.0
National Freight Point 386,19.0883,73.4501,4,9.0,17.0
National Freight Point 387,24.073,76.3277,2,8.0,16.0
National Freight Point 388,15.0197,83.9637,5,10.0,16.0
National Freight Point 389,27.745,75.9313,5,10.0,18.0
National Freight Point 390,12.5193,81.3028,4,10.0,18.0
National Freight Point 391,25.3648,73.8006,3,8.0,14.0
National Freight Point 392,22.9513,74.8837,2,10.0,16.0
National Freight Point 393,16.4432,74.938,1,9.0,17.0
National Freight Point 394,23.9233,85.1401,5,9.0,15.0
National Freight Point 395,28.3883,72.7689,2,8.0,16.0
National Freight Point 396,25.6721,80.3356,4,8.0,14.0
National Freight Point 397,24.4261,79.3573,1,10.0,16.0
National Freight Point 398,25.1192,73.67,2,10.0,18.0
National Freight Point 399,21.0989,80.2218,3,9.0,15.0
National Freight Point 400,19.8453,74.3265,1,9.0,17.0
National Freight Point 401,14.3929,72.7295,5,8.0,16.0
National Freight Point 402,13.0004,78.0619,2,8.0,16.0
National Freight Point 403,20.7298,77.9377,5,8.0,16.0
National Freight Point 404,24.0435,77.2267,2,10.0,18.0
National Freight Point 405,18.4971,74.8527,3,9.0,15.0
National Freight Point 406,22.7102,82.2055,1,10.0,18.0
National Freight Point 407,25.2965,85.9682,5,8.0,14.0
National Freight Point 408,13.24,84.6604,1,10.0,18.0
National Freight Point 409,24.3962,78.5179,1,10.0,18.0
National Freight Point 410,28.0867,83.4309,5,10.0,18.0
National Freight Point 411,26.7212,74.4796,3,8.0,14.0
National Freight Point 412,13.7306,85.8744,4,8.0,14.0
National Freight Point 413,19.3318,79.1797,1,9.0,17.0
National Freight Point 414,21.7273,79.9027,4,8.0,14.0
National Freight Point 415,19.9365,86.0511,1,8.0,14.0
National Freight Point 416,15.9048,82.1479,4,8.0,14.0
National Freight Point 417,29.0839,79.3629,1,8.0,16.0
National Freight Point 418,29.8361,74.4902,5,8.0,16.0
National Freight Point 419,14.2557,79.974,5,9.0,15.0
National Freight Point 420,16.7746,73.2113,4,8.0,14.0
National Freight Point 421,12.5082,84.9981,1,9.0,15.0
National Freight Point 422,21.9938,82.9707,4,8.0,16.0
National Freight Point 423,27.3778,72.8441,2,9.0,15.0
National Freight Point 424,19.7239,76.4879,4,10.0,18.0
National Freight Point 425,17.9441,78.4515,4,10.0,18.0
National Freight Point 426,20.4255,86.1563,5,8.0,14.0
National Freight Point 427,20.7262,72.8146,3,9.0,17.0
National Freight Point 428,30.1294,76.142,3,9.0,15.0
National Freight Point 429,12.8011,78.0177,3,9.0,17.0
National Freight Point 430,17.2556,83.9764,3,9.0,15.0
National Freight Point 431,12.5925,86.3732,4,8.0,16.0
National Freight Point 432,22.3468,80.8907,4,8.0,16.0
National Freight Point 433,26.9078,80.1364,2,10.0,18.0
National Freight Point 434,28.0163,73.9218,1,10.0,18.0
National Freight Point 435,29.4378,81.5189,3,9.0,17.0
National Freight Point 436,19.2098,76.0093,4,9.0,17.0
National Freight Point 437,22.2835,77.4652,3,8.0,14.0
National Freight Point 438,27.748,78.7453,3,9.0,15.0
National Freight Point 439,26.4241,75.3334,1,8.0,14.0
National Freight Point 440,18.7041,77.602,3,8.0,14.0
National Freight Point 441,25.3903,84.329,5,10.0,16.0
National Freight Point 442,28.8418,74.0046,3,10.0,18.0
National Freight Point 443,13.6143,85.5426,4,9.0,15.0
National Freight Point 444,24.6315,74.3361,5,8.0,16.0
National Freight Point 445,18.8582,85.8046,5,8.0,16.0
National Freight Point 446,18.3344,80.2944,3,10.0,18.0
National Freight Point 447,29.1534,78.8332,1,10.0,16.0
National Freight Point 448,18.798,72.5887,2,10.0,18.0
National Freight Point 449,30.5299,76.2768,2,8.0,16.0
National Freight Point 450,25.1518,80.29,5,9.0,17.0
National Freight Point 451,23.2123,77.0391,2,8.0,16.0
National Freight Point 452,30.8207,80.5345,3,9.0,15.0
National Freight Point 453,16.7826,81.1496,2,8.0,16.0
National Freight Point 454,13.7535,77.4102,1,8.0,16.0
National Freight Point 455,13.3183,80.3366,3,10.0,18.0
National Freight Point 456,29.0372,76.0743,5,10.0,16.0
National Freight Point 457,25.9723,83.426,2,8.0,14.0
National Freight Point 458,25.7615,75.3559,3,9.0,17.0
National Freight Point 459,26.8039,79.4428,3,9.0,15.0
National Freight Point 460,26.5082,77.1943,2,10.0,16.0
National Freight Point 461,13.891,76.665,3,9.0,15.0
National Freight Point 462,20.3347,78.5297,4,10.0,16.0
National Freight Point 463,19.7212,81.5549,5,10.0,18.0
National Freight Point 464,21.3944,78.6207,3,10.0,18.0
National Freight Point 465,23.2602,78.9955,4,9.0,17.0
National Freight Point 466,13.2995,80.4491,5,10.0,16.0
National Freight Point 467,29.8792,82.0523,1,9.0,15.0
National Freight Point 468,23.489,78.0842,3,8.0,14.0
National Freight Point 469,19.5409,79.1869,3,9.0,17.0
National Freight Point 470,30.9113,76.854,4,10.0,18.0
National Freight Point 471,17.9423,75.9008,2,10.0,16.0
National Freight Point 472,17.0107,83.5814,3,9.0,15.0
National Freight Point 473,30.6404,85.8948,1,9.0,17.0
National Freight Point 474,20.172,78.696,5,9.0,17.0
National Freight Point 475,23.9123,81.3496,1,9.0,15.0
National Freight Point 476,12.7185,76.7126,2,10.0,16.0
National Freight Point 477,23.1277,80.5657,1,9.0,17.0
National Freight Point 478,14.6464,72.5461,4,9.0,15.0
National Freight Point 479,19.1478,80.4504,1,8.0,14.0
National Freight Point 480,18.0092,85.9025,4,10.0,18.0
National Freight Point 481,15.4554,74.4332,5,10.0,16.0
National Freight Point 482,18.983,84.4319,4,9.0,15.0
National Freight Point 483,29.7788,77.7905,5,10.0,16.0
