name,lat,lon,demand,start_time,end_time
Metro Delivery Stop 59,28.4952,77.3826,3,9.0,14.0
Metro Delivery Stop 60,28.5332,77.0942,2,11.0,15.0
Metro Delivery Stop 61,28.4628,77.3058,1,10.0,16.0
Metro Delivery Stop 62,28.7972,77.3068,2,10.0,14.0
Metro Delivery Stop 63,28.5141,77.2286,1,10.0,15.0
Metro Delivery Stop 64,28.4686,76.8722,4,11.0,16.0
Metro Delivery Stop 65,28.6256,77.4682,3,9.0,13.0
Metro Delivery Stop 66,28.3846,77.0566,4,9.0,15.0
Metro Delivery Stop 67,28.7813,76.9492,1,11.0,16.0
Metro Delivery Stop 68,28.3447,76.8326,1,10.0,15.0
Metro Delivery Stop 69,28.8921,77.2727,4,10.0,15.0
Metro Delivery Stop 70,28.7633,77.3421,1,9.0,13.0
Metro Delivery Stop 71,28.4192,76.8133,4,10.0,15.0
Metro Delivery Stop 72,28.3033,77.2097,3,8.0,14.0
Metro Delivery Stop 73,28.7893,76.9812,4,9.0,14.0
Metro Delivery Stop 74,28.7241,77.3161,3,10.0,15.0
Metro Delivery Stop 75,28.7374,76.9395,4,9.0,15.0
Metro Delivery Stop 76,28.7628,77.3528,1,8.0,13.0
Metro Delivery Stop 77,28.3444,77.1094,4,9.0,13.0
Metro Delivery Stop 78,28.5151,77.5494,1,9.0,13.0
Metro Delivery Stop 79,28.3695,76.91,4,9.0,13.0
Metro Delivery Stop 80,28.8179,77.0729,4,9.0,15.0
Metro Delivery Stop 81,28.674,76.8908,2,8.0,13.0
Metro Delivery Stop 82,28.4985,77.5398,1,11.0,15.0
Metro Delivery Stop 83,28.3381,77.5019,2,9.0,15.0
Metro Delivery Stop 84,28.4866,77.0064,1,9.0,14.0
Metro Delivery Stop 85,28.4951,77.328,2,10.0,16.0
Metro Delivery Stop 86,28.7378,77.4538,3,9.0,13.0
Metro Delivery Stop 87,28.6825,77.2442,4,10.0,14.0
Metro Delivery Stop 88,28.8323,77.2237,1,11.0,15.0
Metro Delivery Stop 89,28.5833,76.9935,1,8.0,14.0
Metro Delivery Stop 90,28.3718,76.8745,4,8.0,14.0
Metro Delivery Stop 91,28.7279,77.5178,1,11.0,15.0
Metro Delivery Stop 92,28.7565,77.5203,1,8.0,14.0
Metro Delivery Stop 93,28.6368,77.3065,2,11.0,15.0
Metro Delivery Stop 94,28.7626,77.0712,1,11.0,15.0
Metro Delivery Stop 95,28.5963,77.0794,3,11.0,16.0
Metro Delivery Stop 96,28.6136,77.3808,3,8.0,14.0
Metro Delivery Stop 97,28.5565,77.5177,4,10.0,14.0
Metro Delivery Stop 98,28.3153,77.5097,1,11.0,15.0
Metro Delivery Stop 99,28.3647,77.4239,4,9.0,15.0
